Array sizes;random_small_range & BubbleSort;random_small_range & BubbleSortIverson1;random_small_range & BubbleSortIverson12;random_small_range & CountingSort;random_small_range & HeapSort;random_small_range & SimpleInsertionSort;random_small_range & BinaryInsertionSort;random_small_range & MergeSort;random_small_range & QuickSort;random_small_range & RadixSort;random_small_range & SelectionSort;random_small_range & ShellSort;random_small_range & CiuraShellSort;random_large_range & BubbleSort;random_large_range & BubbleSortIverson1;random_large_range & BubbleSortIverson12;random_large_range & CountingSort;random_large_range & HeapSort;random_large_range & SimpleInsertionSort;random_large_range & BinaryInsertionSort;random_large_range & MergeSort;random_large_range & QuickSort;random_large_range & RadixSort;random_large_range & SelectionSort;random_large_range & ShellSort;random_large_range & CiuraShellSort;almost_sorted & BubbleSort;almost_sorted & BubbleSortIverson1;almost_sorted & BubbleSortIverson12;almost_sorted & CountingSort;almost_sorted & HeapSort;almost_sorted & SimpleInsertionSort;almost_sorted & BinaryInsertionSort;almost_sorted & MergeSort;almost_sorted & QuickSort;almost_sorted & RadixSort;almost_sorted & SelectionSort;almost_sorted & ShellSort;almost_sorted & CiuraShellSort;decreasing & BubbleSort;decreasing & BubbleSortIverson1;decreasing & BubbleSortIverson12;decreasing & CountingSort;decreasing & HeapSort;decreasing & SimpleInsertionSort;decreasing & BinaryInsertionSort;decreasing & MergeSort;decreasing & QuickSort;decreasing & RadixSort;decreasing & SelectionSort;decreasing & ShellSort;decreasing & CiuraShellSort
1700;13106700;12963800;13067800;135800;312700;3384800;6758900;965500;1913800;138300;5590000;151700;128400;14450900;14025000;14094800;58200;387400;4098100;5813600;1004400;600300;164100;5735700;375200;339200;6030000;586100;575000;64200;363100;37000;114100;883400;2525500;138500;5561300;124500;92400;16091200;16263100;16569500;57000;330000;8082900;11093500;886200;9955800;138800;5699900;161900;139900
1800;14997300;15530700;14404400;60400;331700;3827100;7334800;1032400;2113300;152700;6326300;180700;147400;16055400;15972000;15536000;133500;501200;4406900;7063200;1065100;640700;146600;6361500;460500;395000;6757300;615700;606400;59100;386100;39500;121200;940600;2825500;146300;6222800;88100;98900;17996200;18155800;18297200;65500;358400;9009300;12470700;1282300;11116600;153000;6496200;182200;148200
1900;17449900;16397400;16611800;60900;345400;4199300;9795800;1083300;2780400;153600;6962300;226100;142900;18480500;17916600;19589700;67000;435200;5120600;7249900;1127400;694500;153600;7114800;421600;375200;7341700;650400;743100;60900;408400;41600;132300;1046300;3105100;153300;7001900;122900;105300;20153600;20672800;20791300;62400;450800;10280300;13973800;990200;12489900;256300;7419400;190400;147400
2000;17981900;18108900;17835100;79000;367100;4698700;9056400;1136500;2605900;161500;7798900;182700;155600;19374300;19415100;19440200;63300;462300;5737400;7926100;1204000;735800;161400;8062500;454900;390700;8203100;695000;686600;62900;434100;43500;138500;1100800;3613600;162600;7722900;129600;111100;22768100;22309100;22557100;63800;699000;11128200;15534200;1048200;13808500;166000;7997200;209300;164300
2100;19900500;19752400;19895500;64600;448100;5009300;9764400;1204600;2990400;169900;8731100;212900;160600;21584300;21188900;22043300;65500;500800;6088600;8468900;1389700;799500;183500;8792700;538300;427300;9041700;720900;717300;64600;449300;46000;143800;1157600;3789700;175200;8633100;131200;133600;24463400;24624500;25520600;66000;426200;12345700;17037500;1106400;15296900;169800;8798000;200400;170100
2200;21952300;21818000;22495900;74600;413800;5618500;10970800;1275400;3080400;184100;9717100;292900;173600;23824000;24137000;24157500;68000;564300;7275500;9771100;1327400;791900;176700;9579200;537100;518300;9708500;811200;1332000;67300;473600;48200;151800;1380000;4845000;183900;9369700;149400;123500;26795900;30804900;27639500;68200;440200;14299200;18751800;1162800;17270900;183700;9579600;215400;189600
2300;25399300;24323400;24038800;70900;432400;6152500;12163300;1325600;3436300;184200;10717000;256400;176900;26134000;26140300;26514700;69100;542900;7708400;10448300;1395300;822300;184500;10420300;575700;507200;12649800;1125500;1110500;88500;570700;68000;202700;1413900;5483300;257700;12717900;164600;132400;30192800;35865400;35495200;74200;520800;18332700;20224100;1456000;18166200;184200;10525000;258000;185400
2400;26302500;26325600;26777600;78000;459500;6595800;12918300;1401300;3782300;192300;11165800;253500;188700;27892600;28057900;28186500;72700;567400;7892100;11914800;1462500;878500;193500;11725700;577300;483800;11646600;832200;824800;71100;662900;52700;327300;1280700;5049100;198500;11445700;176200;220200;33222500;33439800;33713400;72400;534800;16014200;21765100;1456200;19804300;192600;11741900;263600;197800
2500;29541900;28016400;28482600;73900;480400;7191300;13972200;1466300;3916400;199800;12794500;254300;200000;31335100;31036200;30759200;73800;603800;8606800;12063000;1574700;915400;206400;12318800;569900;517200;13203800;947400;860400;73000;549500;55100;215100;1405200;5167100;200000;12732300;171200;141200;34954700;35353500;36391900;153100;522200;17574100;25740400;1347800;21854300;207800;12969500;442900;205500
2600;31260400;30424000;30536600;74800;503600;7702400;14831700;1534800;4547700;207500;13868400;256700;242200;33954500;33263600;33741500;75900;626600;9754900;13060000;1611700;959400;207600;13281200;678900;612800;13876600;906900;896500;75400;586100;57100;181900;1388000;5685200;207800;13100700;124700;149200;37372000;37641400;38581100;75900;529900;19586600;25623400;1410100;23459300;208100;13963800;270200;211800
