Array sizes;random_small_range & BubbleSort;random_small_range & BubbleSortIverson1;random_small_range & BubbleSortIverson12;random_small_range & CountingSort;random_small_range & HeapSort;random_small_range & SimpleInsertionSort;random_small_range & BinaryInsertionSort;random_small_range & MergeSort;random_small_range & QuickSort;random_small_range & RadixSort;random_small_range & SelectionSort;random_small_range & ShellSort;random_small_range & CiuraShellSort;random_large_range & BubbleSort;random_large_range & BubbleSortIverson1;random_large_range & BubbleSortIverson12;random_large_range & CountingSort;random_large_range & HeapSort;random_large_range & SimpleInsertionSort;random_large_range & BinaryInsertionSort;random_large_range & MergeSort;random_large_range & QuickSort;random_large_range & RadixSort;random_large_range & SelectionSort;random_large_range & ShellSort;random_large_range & CiuraShellSort;almost_sorted & BubbleSort;almost_sorted & BubbleSortIverson1;almost_sorted & BubbleSortIverson12;almost_sorted & CountingSort;almost_sorted & HeapSort;almost_sorted & SimpleInsertionSort;almost_sorted & BinaryInsertionSort;almost_sorted & MergeSort;almost_sorted & QuickSort;almost_sorted & RadixSort;almost_sorted & SelectionSort;almost_sorted & ShellSort;almost_sorted & CiuraShellSort;decreasing & BubbleSort;decreasing & BubbleSortIverson1;decreasing & BubbleSortIverson12;decreasing & CountingSort;decreasing & HeapSort;decreasing & SimpleInsertionSort;decreasing & BinaryInsertionSort;decreasing & MergeSort;decreasing & QuickSort;decreasing & RadixSort;decreasing & SelectionSort;decreasing & ShellSort;decreasing & CiuraShellSort
50;16900;15700;15800;39600;8800;5900;12500;32900;14500;16100;9900;4800;5000;30800;17300;17200;44500;29100;5900;11100;31900;17900;16600;11500;7000;7100;8500;400;400;36300;9800;1000;3200;37300;21400;17200;9000;1800;2100;21900;26000;22300;57300;11400;17800;16800;30000;22500;17100;10200;4200;5100
100;66900;63000;64000;55200;31300;19400;90200;68900;33700;23400;38200;11600;10800;87900;74600;71900;42800;25000;23600;36800;70600;40300;23500;38600;19400;18400;33600;800;900;40900;22300;1300;4900;62000;78800;23200;32300;4000;3800;79700;80100;81000;36700;17100;41300;58100;61800;68700;22100;33200;9000;9600
150;131700;130500;178000;50600;30400;40000;83700;107900;59500;29800;75700;17500;16200;151600;160500;177700;45900;39700;50700;81400;170000;64400;29800;96900;31300;30300;74500;73900;30000;40400;35100;4000;10500;85100;75600;26200;61500;14000;13200;210800;210300;234700;46500;86200;112500;210600;107800;198500;33400;80100;22800;17000
200;311400;270900;263200;60500;46300;134200;175700;177500;90800;40000;169400;24800;20900;249400;262900;253400;58600;53600;79900;125000;134700;77700;31700;124400;37700;37200;134100;84400;22100;43700;39900;4500;11700;105500;114000;28200;85700;10800;9200;235900;243400;241300;29200;29800;121000;226500;169000;170500;23100;84700;13700;13500
250;265900;263100;280000;30100;58500;76300;156100;154600;77000;27600;132000;19200;17000;273300;278500;277600;29300;43400;88200;134700;126200;71700;26600;136600;34800;33300;168000;133800;57500;34500;41700;5300;13700;109200;112200;27200;123100;14000;12000;729000;423400;348900;29200;36800;173600;241500;108600;277200;26800;194900;19200;17500
300;356600;345600;340700;29100;45600;99300;213000;145200;98400;37800;182000;21500;19400;391800;597700;391400;29400;52400;124000;187300;250600;88100;30700;193200;44700;53100;199800;89900;97700;29300;50500;5400;15800;132800;154600;31100;176700;16600;13300;496600;499800;501400;28900;44900;249300;502500;134000;345900;30700;389200;23500;21800
