Array sizes;RandomSmallRange & BubbleSort;RandomSmallRange & BubbleSortIverson1;RandomSmallRange & BubbleSortIverson12;RandomSmallRange & CountingSort;RandomSmallRange & HeapSort;RandomSmallRange & SimpleInsertionSort;RandomSmallRange & BinaryInsertionSort;RandomSmallRange & MergeSort;RandomSmallRange & QuickSort;RandomSmallRange & RadixSort;RandomSmallRange & SelectionSort;RandomSmallRange & ShellSort;RandomSmallRange & CiuraShellSort;RandomLargeRange & BubbleSort;RandomLargeRange & BubbleSortIverson1;RandomLargeRange & BubbleSortIverson12;RandomLargeRange & CountingSort;RandomLargeRange & HeapSort;RandomLargeRange & SimpleInsertionSort;RandomLargeRange & BinaryInsertionSort;RandomLargeRange & MergeSort;RandomLargeRange & QuickSort;RandomLargeRange & RadixSort;RandomLargeRange & SelectionSort;RandomLargeRange & ShellSort;RandomLargeRange & CiuraShellSort;AlmostSorted & BubbleSort;AlmostSorted & BubbleSortIverson1;AlmostSorted & BubbleSortIverson12;AlmostSorted & CountingSort;AlmostSorted & HeapSort;AlmostSorted & SimpleInsertionSort;AlmostSorted & BinaryInsertionSort;AlmostSorted & MergeSort;AlmostSorted & QuickSort;AlmostSorted & RadixSort;AlmostSorted & SelectionSort;AlmostSorted & ShellSort;AlmostSorted & CiuraShellSort;Decreasing & BubbleSort;Decreasing & BubbleSortIverson1;Decreasing & BubbleSortIverson12;Decreasing & CountingSort;Decreasing & HeapSort;Decreasing & SimpleInsertionSort;Decreasing & BinaryInsertionSort;Decreasing & MergeSort;Decreasing & QuickSort;Decreasing & RadixSort;Decreasing & SelectionSort;Decreasing & ShellSort;Decreasing & CiuraShellSort
50;14323;13268;12689;252;31199;3845;9544;5014;4823;10550;6781;1890;1555;16645;16091;15755;252;31851;5651;10232;5098;5753;10550;6847;3506;3107;9949;348;303;252;32679;443;2192;4534;9024;10550;6715;626;515;20974;20928;21079;252;31060;9018;15315;4654;9790;10550;7340;2306;2355
100;73104;66399;62219;754;70806;19424;46316;16686;16750;25500;32846;6827;5455;80655;77522;74752;754;73440;25297;44561;16974;17351;25500;33097;12219;10351;49848;1046;906;754;75961;1336;7372;15012;42098;25500;32655;2155;1759;105423;105281;105733;754;71132;44561;74201;15372;44405;25500;35780;7995;7663
150;204407;188837;178020;1506;119954;53009;125101;35682;39443;44850;90712;14010;11647;221714;212738;203180;1506;125637;66470;115114;36252;37703;44850;91343;25370;23375;142199;65794;29027;1506;130857;4625;18606;32478;83132;44850;90324;7578;5727;295847;295559;296462;1506;120857;124129;204446;32670;118845;44850;99070;17530;16191
200;441264;409163;388198;2508;178285;114736;267002;62376;74030;68600;192887;24330;20243;478875;460135;439558;2508;189638;143989;245354;63336;64465;68600;194051;45290;40787;304500;158892;57448;2508;198086;8364;33340;56754;154516;68600;192218;14090;10595;634746;634262;635766;2508;180824;265222;433766;56916;248110;68600;210960;31082;27139
250;811001;751834;714337;3760;246288;210303;485843;96744;122881;96750;351847;35431;31243;881507;847976;812840;3760;265164;265141;446965;98388;100003;96750;353824;69799;64091;559253;283120;137227;3760;277321;14499;54208;88620;240160;96750;350841;23559;18283;1164620;1163890;1166145;3760;251750;485340;789661;87906;447200;96750;385200;50423;42779
300;1349467;1248935;1186540;5262;324745;352037;804289;139660;188800;129300;580141;51353;44615;1459888;1404844;1347412;5262;352783;437920;732600;141970;141068;129300;583140;99705;92679;923956;435698;217306;5262;370023;21084;78928;127876;362454;129300;578689;35273;26871;1927969;1926943;1930099;5262;334101;801983;1299991;126712;731115;129300;635540;72761;60743
