Array sizes;RandomSmallRange & BubbleSort;RandomSmallRange & BubbleSortIverson1;RandomSmallRange & BubbleSortIverson12;RandomSmallRange & CountingSort;RandomSmallRange & HeapSort;RandomSmallRange & SimpleInsertionSort;RandomSmallRange & BinaryInsertionSort;RandomSmallRange & MergeSort;RandomSmallRange & QuickSort;RandomSmallRange & RadixSort;RandomSmallRange & SelectionSort;RandomSmallRange & ShellSort;RandomSmallRange & CiuraShellSort;RandomLargeRange & BubbleSort;RandomLargeRange & BubbleSortIverson1;RandomLargeRange & BubbleSortIverson12;RandomLargeRange & CountingSort;RandomLargeRange & HeapSort;RandomLargeRange & SimpleInsertionSort;RandomLargeRange & BinaryInsertionSort;RandomLargeRange & MergeSort;RandomLargeRange & QuickSort;RandomLargeRange & RadixSort;RandomLargeRange & SelectionSort;RandomLargeRange & ShellSort;RandomLargeRange & CiuraShellSort;AlmostSorted & BubbleSort;AlmostSorted & BubbleSortIverson1;AlmostSorted & BubbleSortIverson12;AlmostSorted & CountingSort;AlmostSorted & HeapSort;AlmostSorted & SimpleInsertionSort;AlmostSorted & BinaryInsertionSort;AlmostSorted & MergeSort;AlmostSorted & QuickSort;AlmostSorted & RadixSort;AlmostSorted & SelectionSort;AlmostSorted & ShellSort;AlmostSorted & CiuraShellSort;Decreasing & BubbleSort;Decreasing & BubbleSortIverson1;Decreasing & BubbleSortIverson12;Decreasing & CountingSort;Decreasing & HeapSort;Decreasing & SimpleInsertionSort;Decreasing & BinaryInsertionSort;Decreasing & MergeSort;Decreasing & QuickSort;Decreasing & RadixSort;Decreasing & SelectionSort;Decreasing & ShellSort;Decreasing & CiuraShellSort
50;19400;18500;18200;46900;9500;6200;12700;32500;15900;17600;10600;4700;4700;22100;34300;21600;44300;10000;8600;13600;31100;19500;16900;11600;7600;7800;10100;500;400;37800;10100;700;2300;28600;23000;15800;8600;1800;1800;21900;21700;22300;35200;7700;11500;15900;26700;23400;15600;10200;4200;4500
100;77200;72000;69000;36900;18500;20600;42300;61700;32200;21600;33500;29200;9700;73200;71100;70300;36000;19700;23500;36600;57800;33600;20500;32800;15100;14100;33500;800;700;59600;18600;1000;4000;47600;67300;18400;35200;3100;3300;114300;109400;91600;35700;16900;41000;55700;54100;79500;20300;33400;8500;8300
150;139400;126800;122900;35000;27600;38800;76800;99400;49300;23700;61200;33400;13700;168800;139800;135600;34500;32100;48700;73500;101100;57000;26200;73200;25500;26800;79200;59200;27800;38200;34000;4400;10900;85500;88800;27300;64200;11100;9400;188900;178800;178100;35900;36600;131200;151400;99700;208300;29800;93200;14100;14100
200;305100;270100;246200;46600;51400;95100;187100;153100;86400;33500;147600;25300;23500;301300;327000;343500;50900;74700;119200;145800;155200;101500;33500;146000;55900;36300;141300;80600;29100;39500;45900;4700;12400;105800;172700;31400;116200;14100;12200;314900;318900;430300;38700;46400;214800;228700;134600;290400;34000;145000;23600;22100
250;452300;405000;368900;41100;50100;111000;188300;146700;98900;33500;198000;22200;24600;507300;473400;426400;41300;76400;135700;198700;146700;96300;35200;220300;59500;60600;257300;146800;99900;47300;62600;8100;20800;150600;178700;35400;168500;18300;16000;471200;510500;493300;38300;50700;256100;355800;147200;436500;37300;201300;27200;21500
300;550300;489200;536600;44300;71600;167900;324200;196900;158700;45800;260100;31000;27400;582500;652800;604900;41200;69100;192800;314900;210200;125800;43100;278200;76000;54900;338700;162600;79000;39400;72700;7500;20300;189700;248800;49200;269500;20800;16500;910300;788500;754800;39100;58300;323300;512500;176100;540900;37300;432700;29500;26400
